# index 0: u''=-u
0.0549703 0.0549426 0.99849 
0.0551219 0.055094 0.998481 
0.0552736 0.0552454 0.998473 
0.0554252 0.0553968 0.998464 
0.0555769 0.0555482 0.998456 
0.0557285 0.0556997 0.998448 
0.0558801 0.0558511 0.998439 
0.0560318 0.0560025 0.998431 
0.0561834 0.0561539 0.998422 
0.056335 0.0563053 0.998414 
0.0564867 0.0564567 0.998405 
0.0566383 0.0566081 0.998396 
0.05679 0.0567594 0.998388 
0.0569416 0.0569108 0.998379 
0.0570932 0.0570622 0.998371 
0.0572449 0.0572136 0.998362 
0.0573965 0.057365 0.998353 
0.0575482 0.0575164 0.998345 
0.0576998 0.0576678 0.998336 
0.0578514 0.0578192 0.998327 
0.0580031 0.0579706 0.998318 
0.0581547 0.0581219 0.998309 
0.0583064 0.0582733 0.998301 
0.058458 0.0584247 0.998292 
0.0586096 0.0585761 0.998283 
0.0587613 0.0587275 0.998274 
0.0589129 0.0588788 0.998265 
0.0590646 0.0590302 0.998256 
0.0592162 0.0591816 0.998247 
0.0593678 0.059333 0.998238 
0.0595195 0.0594843 0.998229 
0.0596711 0.0596357 0.99822 
0.0598227 0.0597871 0.998211 
0.0599744 0.0599384 0.998202 
0.060126 0.0600898 0.998193 
0.0602777 0.0602412 0.998184 
0.0604293 0.0603925 0.998175 
0.0605809 0.0605439 0.998166 
0.0607326 0.0606953 0.998156 
0.0608842 0.0608466 0.998147 
0.0610359 0.060998 0.998138 
0.0611875 0.0611493 0.998129 
0.0613391 0.0613007 0.998119 
0.0614908 0.061452 0.99811 
0.0616424 0.0616034 0.998101 
0.0617941 0.0617547 0.998091 
0.0619457 0.0619061 0.998082 
0.0620973 0.0620574 0.998073 
0.062249 0.0622088 0.998063 
0.0624006 0.0623601 0.998054 
0.0625522 0.0625115 0.998044 
0.0627039 0.0626628 0.998035 
0.0628555 0.0628141 0.998025 
0.0630072 0.0629655 0.998016 
0.0631588 0.0631168 0.998006 
0.0633104 0.0632682 0.997997 
0.0634621 0.0634195 0.997987 
0.0636137 0.0635708 0.997977 
0.0637654 0.0637222 0.997968 
0.063917 0.0638735 0.997958 
0.0640686 0.0640248 0.997948 
0.0642203 0.0641761 0.997939 
0.0643719 0.0643275 0.997929 
0.0645236 0.0644788 0.997919 
0.0646752 0.0646301 0.997909 
0.0648268 0.0647814 0.997899 
0.0649785 0.0649328 0.99789 
0.0651301 0.0650841 0.99788 
0.0652817 0.0652354 0.99787 
0.0654334 0.0653867 0.99786 
0.065585 0.065538 0.99785 
0.0657367 0.0656893 0.99784 
0.0658883 0.0658406 0.99783 
0.0660399 0.0659919 0.99782 
0.0661916 0.0661433 0.99781 
0.0663432 0.0662946 0.9978 
0.0664949 0.0664459 0.99779 
0.0666465 0.0665972 0.99778 
0.0667981 0.0667485 0.99777 
0.0669498 0.0668998 0.99776 
0.0671014 0.0670511 0.99775 
0.0672531 0.0672024 0.997739 
0.0674047 0.0673537 0.997729 
0.0675563 0.067505 0.997719 
0.067708 0.0676562 0.997709 
0.0678596 0.0678075 0.997698 
0.0680112 0.0679588 0.997688 
0.0681629 0.0681101 0.997678 
0.0683145 0.0682614 0.997667 
0.0684662 0.0684127 0.997657 
0.0686178 0.068564 0.997647 
0.0687694 0.0687153 0.997636 
0.0689211 0.0688665 0.997626 
0.0690727 0.0690178 0.997615 
0.0692244 0.0691691 0.997605 
0.069376 0.0693204 0.997594 
0.0695276 0.0694716 0.997584 
0.0696793 0.0696229 0.997573 
0.0698309 0.0697742 0.997563 
0.0699826 0.0699254 0.997552 
0.0701342 0.0700767 0.997542 
0.0702858 0.070228 0.997531 
0.0704375 0.0703792 0.99752 
0.0705891 0.0705305 0.99751 
0.0707407 0.0706818 0.997499 
0.0708924 0.070833 0.997488 
0.071044 0.0709843 0.997477 
0.0711957 0.0711355 0.997467 
0.0713473 0.0712868 0.997456 
0.0714989 0.071438 0.997445 
0.0716506 0.0715893 0.997434 
0.0718022 0.0717405 0.997423 
0.0719539 0.0718918 0.997412 
0.0721055 0.072043 0.997402 
0.0722571 0.0721943 0.997391 
0.0724088 0.0723455 0.99738 
0.0725604 0.0724968 0.997369 
0.0727121 0.072648 0.997358 
0.0728637 0.0727992 0.997347 
0.0730153 0.0729505 0.997336 
0.073167 0.0731017 0.997324 
0.0733186 0.0732529 0.997313 
0.0734703 0.0734042 0.997302 
0.0736219 0.0735554 0.997291 
0.0737735 0.0737066 0.99728 
0.0739252 0.0738579 0.997269 
0.0740768 0.0740091 0.997258 
0.0742284 0.0741603 0.997246 
0.0743801 0.0743115 0.997235 
0.0745317 0.0744627 0.997224 
0.0746834 0.074614 0.997212 
0.074835 0.0747652 0.997201 
0.0749866 0.0749164 0.99719 
0.0751383 0.0750676 0.997178 
0.0752899 0.0752188 0.997167 
0.0754416 0.07537 0.997156 
0.0755932 0.0755212 0.997144 
0.0757448 0.0756724 0.997133 
0.0758965 0.0758236 0.997121 
0.0760481 0.0759748 0.99711 
0.0761998 0.076126 0.997098 
0.0763514 0.0762772 0.997087 
0.076503 0.0764284 0.997075 
0.0766547 0.0765796 0.997063 
0.0768063 0.0767308 0.997052 
0.0769579 0.076882 0.99704 
0.0771096 0.0770332 0.997029 
0.0772612 0.0771844 0.997017 
0.0774129 0.0773356 0.997005 
0.0775645 0.0774868 0.996993 
0.0777161 0.0776379 0.996982 
0.0778678 0.0777891 0.99697 
0.0780194 0.0779403 0.996958 
0.0781711 0.0780915 0.996946 
0.0783227 0.0782426 0.996934 
0.0784743 0.0783938 0.996922 
0.078626 0.078545 0.996911 
0.0787776 0.0786962 0.996899 
0.0789293 0.0788473 0.996887 
0.0790809 0.0789985 0.996875 
0.0792325 0.0791497 0.996863 
0.0793842 0.0793008 0.996851 
0.0795358 0.079452 0.996839 
0.0796874 0.0796031 0.996827 
0.0798391 0.0797543 0.996815 
0.0799907 0.0799054 0.996802 
0.0801424 0.0800566 0.99679 
0.080294 0.0802078 0.996778 
0.0804456 0.0803589 0.996766 
0.0805973 0.0805101 0.996754 
0.0807489 0.0806612 0.996742 
0.0809006 0.0808123 0.996729 
0.0810522 0.0809635 0.996717 
0.0812038 0.0811146 0.996705 
0.0813555 0.0812658 0.996692 
0.0815071 0.0814169 0.99668 
0.0816588 0.081568 0.996668 
0.0818104 0.0817192 0.996655 
0.081962 0.0818703 0.996643 
0.0821137 0.0820214 0.996631 
0.0822653 0.0821726 0.996618 
0.0824169 0.0823237 0.996606 
0.0825686 0.0824748 0.996593 
0.0827202 0.0826259 0.996581 
0.0828719 0.082777 0.996568 
0.0830235 0.0829282 0.996556 
0.0831751 0.0830793 0.996543 
0.0833268 0.0832304 0.99653 
0.0834784 0.0833815 0.996518 
0.0836301 0.0835326 0.996505 
0.0837817 0.0836837 0.996492 
0.0839333 0.0838348 0.99648 
0.084085 0.0839859 0.996467 
0.0842366 0.084137 0.996454 
0.0843883 0.0842881 0.996441 
0.0845399 0.0844392 0.996429 
0.0846915 0.0845903 0.996416 
0.0848432 0.0847414 0.996403 
0.0849948 0.0848925 0.99639 
0.0851465 0.0850436 0.996377 
0.0852981 0.0851947 0.996364 
0.0854497 0.0853458 0.996351 
0.0856014 0.0854969 0.996338 
0.085753 0.0856479 0.996325 
0.0859046 0.085799 0.996312 
0.0860563 0.0859501 0.996299 
0.0862079 0.0861012 0.996286 
0.0863596 0.0862523 0.996273 
0.0865112 0.0864033 0.99626 
0.0866628 0.0865544 0.996247 
0.0868145 0.0867055 0.996234 
0.0869661 0.0868565 0.996221 
0.0871178 0.0870076 0.996208 
0.0872694 0.0871587 0.996194 
0.087421 0.0873097 0.996181 
0.0875727 0.0874608 0.996168 
0.0877243 0.0876118 0.996155 
0.087876 0.0877629 0.996141 
0.0880276 0.0879139 0.996128 
0.0881792 0.088065 0.996115 
0.0883309 0.088216 0.996101 
0.0884825 0.0883671 0.996088 
0.0886341 0.0885181 0.996075 
0.0887858 0.0886692 0.996061 
0.0889374 0.0888202 0.996048 
0.0890891 0.0889713 0.996034 
0.0892407 0.0891223 0.996021 
0.0893923 0.0892733 0.996007 
0.089544 0.0894244 0.995994 
0.0896956 0.0895754 0.99598 
0.0898473 0.0897264 0.995966 
0.0899989 0.0898775 0.995953 
0.0901505 0.0900285 0.995939 
0.0903022 0.0901795 0.995926 
0.0904538 0.0903305 0.995912 
0.0906055 0.0904815 0.995898 
0.0907571 0.0906326 0.995884 
0.0909087 0.0907836 0.995871 
0.0910604 0.0909346 0.995857 
0.091212 0.0910856 0.995843 
0.0913636 0.0912366 0.995829 
0.0915153 0.0913876 0.995815 
0.0916669 0.0915386 0.995802 
0.0918186 0.0916896 0.995788 
0.0919702 0.0918406 0.995774 
0.0921218 0.0919916 0.99576 
0.0922735 0.0921426 0.995746 
0.0924251 0.0922936 0.995732 
0.0925768 0.0924446 0.995718 
0.0927284 0.0925956 0.995704 
0.09288 0.0927466 0.99569 
0.0930317 0.0928975 0.995676 
0.0931833 0.0930485 0.995662 
0.093335 0.0931995 0.995647 
0.0934866 0.0933505 0.995633 
0.0936382 0.0935015 0.995619 
0.0937899 0.0936524 0.995605 
0.0939415 0.0938034 0.995591 
0.0940931 0.0939544 0.995577 
0.0942448 0.0941053 0.995562 
0.0943964 0.0942563 0.995548 
0.0945481 0.0944073 0.995534 
0.0946997 0.0945582 0.995519 
0.0948513 0.0947092 0.995505 
0.095003 0.0948601 0.995491 
0.0951546 0.0950111 0.995476 
0.0953063 0.095162 0.995462 
0.0954579 0.095313 0.995447 
0.0956095 0.0954639 0.995433 
0.0957612 0.0956149 0.995418 
0.0959128 0.0957658 0.995404 
0.0960645 0.0959168 0.995389 
0.0962161 0.0960677 0.995375 
0.0963677 0.0962186 0.99536 
0.0965194 0.0963696 0.995346 
0.096671 0.0965205 0.995331 
0.0968227 0.0966714 0.995316 
0.0969743 0.0968224 0.995302 
0.0971259 0.0969733 0.995287 
0.0972776 0.0971242 0.995272 
0.0974292 0.0972751 0.995258 
0.0975808 0.0974261 0.995243 
0.0977325 0.097577 0.995228 
0.0978841 0.0977279 0.995213 
0.0980358 0.0978788 0.995198 
0.0981874 0.0980297 0.995183 
0.098339 0.0981806 0.995169 
0.0984907 0.0983315 0.995154 
0.0986423 0.0984824 0.995139 
0.098794 0.0986333 0.995124 
0.0989456 0.0987842 0.995109 
